('image09462_face_anno_57529 (undetected)', 0.0)
('image01900_face_anno_39562 (undetected)', 0.0)
('image60948_face_anno_46643 (undetected)', 0.0)
('image56691_face_anno_53468 (undetected)', 0.0)
('image20790_face_anno_61192 (undetected)', 0.0)
('image38784_face_anno_51226 (undetected)', 0.0)
('image67995_face_anno_54662 (undetected)', 0.0)
('image57203_face_anno_53523 (undetected)', 0.0)
('image14378_face_anno_48408 (undetected)', 0.0)
('image19059_face_anno_60031 (undetected)', 0.0)
('image41752_face_anno_51565 (undetected)', 0.0)
('image34567_face_anno_42746 (undetected)', 0.0)
('image02829_face_anno_55960 (undetected)', 0.0)
('image56650_face_anno_53465 (undetected)', 0.0)
('image21161_face_anno_61574 (undetected)', 0.2247)
('image33932_face_anno_50795 (undetected)', 0.6161)
('image35363_face_anno_50918 (undetected)', 0.7742)
('image21021_face_anno_61469 (undetected)', 0.8998)
('image09649_face_anno_47849 (undetected)', 1.0051)
('image05282_face_anno_39875 (undetected)', 1.0609)
('image10954_face_anno_47980 (undetected)', 1.0809)
('image15385_face_anno_48629 (undetected)', 1.4879)
('image20640_face_anno_41299 (undetected)', 1.6847)
('image48576_face_anno_44527 (undetected)', 1.7357)
('image65804_face_anno_54321 (undetected)', 1.7899)
('image58252_face_anno_53677 (undetected)', 2.1211)
('image13278_face_anno_58662 (undetected)', 2.2338)
('image60948_face_anno_46641 (undetected)', 2.2906)
('image21021_face_anno_61470 (undetected)', 2.2906)
('image60948_face_anno_46639 (undetected)', 2.3859)
('image58947_face_anno_53750 (undetected)', 2.4896)
('image59313_face_anno_45920 (undetected)', 2.5318)
('image03691_face_anno_56171 (undetected)', 2.5448)
('image53339_face_anno_45157 (undetected)', 2.6026)
('image44227_face_anno_43935 (undetected)', 2.6026)
('image22847_face_anno_62647 (undetected)', 2.6453)
('image33166_face_anno_50722 (undetected)', 2.7263)
('image46882_face_anno_52285 (undetected)', 2.7927)
('image20769_face_anno_41321 (undetected)', 2.8624)
('image19964_face_anno_41227 (undetected)', 2.8624)
('image04348_face_anno_39774 (undetected)', 2.9393)
('image49889_face_anno_52756 (undetected)', 3.0128)
('image20897_face_anno_61458 (undetected)', 3.0128)
('image18720_face_anno_59816 (undetected)', 3.0128)
('image56252_face_anno_53439 (undetected)', 3.1507)
('image45205_face_anno_52035 (undetected)', 3.1798)
('image39870_face_anno_51338 (undetected)', 3.1798)
('image55016_face_anno_45357 (undetected)', 3.3019)
('image63417_face_anno_54060 (undetected)', 3.3665)
('image54185_face_anno_45263 (undetected)', 3.5035)
('image46206_face_anno_44220 (undetected)', 3.5763)
